model,asset,method,DQ,p_DQ,DQ_rank
Lag-Llama,GDAXI,Hist-Quantile,,,5
Lag-Llama,GDAXI,aci,61.649610727213755,2.0791567291657053e-11,6
Lag-Llama,GDAXI,rolling,13.461049095589809,0.036271483261007355,6
Lag-Llama,GDAXI,gamlss,15.106743654433657,0.019442540596327614,6
Lag-Llama,GDAXI,gbm,99.01024424296914,4.0365442629779103e-19,6
Lag-Llama,GLD,Raw,159.33078796274336,8.206732102010755e-32,6
Lag-Llama,GLD,Conformal,40.073381548731916,4.406369039793701e-07,6
Lag-Llama,GLD,Scale,31.377299025254764,2.1472125235738247e-05,6
Lag-Llama,GLD,QR-Residual,30.458348954891516,3.2156012611160226e-05,6
Lag-Llama,GLD,Isotonic,15.321468665473315,0.017898493779427295,6
Lag-Llama,GLD,Hist-Quantile,,,5
Lag-Llama,GLD,aci,10.198294550044446,0.11654597167802275,6
Lag-Llama,GLD,rolling,12.585540438838205,0.05011060799259782,6
Lag-Llama,GLD,gamlss,6.019257135859786,0.42103634483352675,6
Lag-Llama,GLD,gbm,29.84541998291771,4.20593903443395e-05,6
Lag-Llama,HSI,Raw,113.42682674436898,3.90239669167865e-22,6
